cs_threshold,ucs_threshold,case_label,experiment,condition,condition_tag,cluster,participants,estimate_mean,P(E|C)_pearson,P(E|C)_spearman,P(C|E)_pearson,P(C|E)_spearman,delta_p_pearson,delta_p_spearman,CS_pearson,CS_spearman,UCS_pearson,UCS_spearman,pARIs_pearson,pARIs_spearman,DFH_pearson,DFH_spearman,Dice_pearson,Dice_spearman,CS_diff_pearson,CS_diff_spearman,UCS_diff_pearson,UCS_diff_spearman,CS_ratio_pearson,CS_ratio_spearman,UCS_ratio_pearson,UCS_ratio_spearman,CS_single_pearson,CS_single_spearman,UCS_single_pearson,UCS_single_spearman
0.1,0.1,Cond1_ex2,Online,Symmetric,Symmetric_Online,Cluster2,21,20.976,-0.51,-0.588,0.482,0.644,0.519,0.637,-0.433,-0.484,0.483,0.536,0.081,0.153,-0.028,-0.014,0.081,0.153,-0.468,-0.548,-0.495,-0.637,0.375,0.218,0.501,0.637,-0.46,-0.548,-0.512,-0.548
0.1,0.1,Cond0_ex1,Summary,Asymmetric,Asymmetric_Summary,Cluster1,10,52.783,-0.009,0.085,0.052,0.115,0.188,0.129,0.206,0.239,0.164,0.129,0.552,0.55,0.301,0.286,0.552,0.55,,,,,,,,,,,,
0.1,0.1,Cond0_ex1,Summary,Asymmetric,Asymmetric_Summary,Cluster2,29,40.914,-0.777,-0.677,0.715,0.776,0.807,0.783,-0.653,-0.558,0.808,0.783,0.194,0.229,-0.058,-0.09,0.194,0.229,,,,,,,,,,,,
0.1,0.1,Cond1_ex1,Summary,Symmetric,Symmetric_Summary,Cluster1,26,43.596,-0.879,-0.778,0.811,0.85,0.893,0.844,-0.761,-0.651,0.867,0.844,0.133,0.175,-0.095,-0.06,0.133,0.175,-0.808,-0.741,-0.84,-0.844,0.604,0.306,0.865,0.844,-0.797,-0.741,-0.887,-0.741
0.1,0.1,Cond1_ex1,Summary,Symmetric,Symmetric_Summary,Cluster2,5,39.233,-0.178,-0.188,0.208,0.347,0.332,0.369,0.028,-0.035,0.237,0.369,0.471,0.495,0.242,0.192,0.471,0.495,-0.032,-0.079,-0.256,-0.369,0.111,-0.137,0.423,0.369,-0.013,-0.079,-0.17,-0.079
0.01,0.01,Cond0_ex2,Online,Asymmetric,Asymmetric_Online,Cluster1,9,55.389,0.338,0.316,-0.249,-0.242,-0.28,-0.223,0.371,0.374,-0.103,-0.082,0.165,0.198,0.254,0.269,0.165,0.198,,,,,,,,,,,,
0.01,0.01,Cond0_ex2,Online,Asymmetric,Asymmetric_Online,Cluster2,27,26.877,-0.478,-0.456,0.387,0.483,0.5,0.487,-0.317,-0.414,-0.076,-0.145,0.11,0.116,-0.154,-0.148,0.11,0.116,,,,,,,,,,,,
0.01,0.01,Cond1_ex2,Online,Symmetric,Symmetric_Online,Cluster1,17,47.118,-0.636,-0.627,0.661,0.698,0.693,0.683,-0.352,-0.475,-0.009,-0.117,0.205,0.206,0.133,0.134,0.205,0.206,-0.43,-0.475,-0.675,-0.683,0.563,0.27,0.701,0.683,-0.406,-0.475,-0.627,-0.583
0.01,0.01,Cond1_ex2,Online,Symmetric,Symmetric_Online,Cluster2,21,20.976,-0.51,-0.588,0.482,0.644,0.519,0.637,-0.349,-0.484,0.093,-0.031,0.081,0.153,-0.028,-0.014,0.081,0.153,-0.392,-0.484,-0.502,-0.637,0.383,0.218,0.507,0.637,-0.379,-0.484,-0.514,-0.57
0.01,0.01,Cond0_ex1,Summary,Asymmetric,Asymmetric_Summary,Cluster1,10,52.783,-0.009,0.085,0.052,0.115,0.188,0.129,0.335,0.239,0.348,0.383,0.552,0.55,0.301,0.286,0.552,0.55,,,,,,,,,,,,
0.01,0.01,Cond0_ex1,Summary,Asymmetric,Asymmetric_Summary,Cluster2,29,40.914,-0.777,-0.677,0.715,0.776,0.807,0.783,-0.5,-0.558,-0.433,-0.373,0.194,0.229,-0.058,-0.09,0.194,0.229,,,,,,,,,,,,
0.01,0.01,Cond1_ex1,Summary,Symmetric,Symmetric_Summary,Cluster1,26,43.596,-0.879,-0.778,0.811,0.85,0.893,0.844,-0.611,-0.651,0.281,0.091,0.133,0.175,-0.095,-0.06,0.133,0.175,-0.678,-0.651,-0.86,-0.844,0.624,0.217,0.859,0.844,-0.657,-0.651,-0.888,-0.781
