cs_threshold,ucs_threshold,case_label,experiment,condition,condition_tag,cluster,participants,estimate_mean,P(E|C)_pearson,P(E|C)_spearman,P(C|E)_pearson,P(C|E)_spearman,delta_p_pearson,delta_p_spearman,CS_pearson,CS_spearman,UCS_pearson,UCS_spearman,pARIs_pearson,pARIs_spearman,DFH_pearson,DFH_spearman,Dice_pearson,Dice_spearman,CS_diff_pearson,CS_diff_spearman,UCS_diff_pearson,UCS_diff_spearman,CS_ratio_pearson,CS_ratio_spearman,UCS_ratio_pearson,UCS_ratio_spearman,CS_single_pearson,CS_single_spearman,UCS_single_pearson,UCS_single_spearman
0.2,0.2,Cond0_ex2,Online,Asymmetric,Asymmetric_Online,Cluster1,9.0,55.389,0.338,0.316,-0.249,-0.242,-0.28,-0.223,0.395,0.374,-0.257,-0.223,0.165,0.198,0.254,0.269,0.165,0.198,,,,,,,,,,,,
0.2,0.2,Cond0_ex2,Online,Asymmetric,Asymmetric_Online,Cluster2,27.0,26.877,-0.478,-0.456,0.387,0.483,0.5,0.487,-0.447,-0.414,0.442,0.487,0.11,0.116,-0.154,-0.148,0.11,0.116,,,,,,,,,,,,
0.2,0.2,Cond1_ex2,Online,Symmetric,Symmetric_Online,Cluster1,17.0,47.118,-0.636,-0.627,0.661,0.698,0.693,0.683,-0.459,-0.475,0.639,0.683,0.205,0.206,0.133,0.134,0.205,0.206,-0.578,-0.563,-0.657,-0.683,0.532,0.388,0.7,0.683,-0.56,-0.563,-0.614,-0.563
0.2,0.2,Cond1_ex2,Online,Symmetric,Symmetric_Online,Cluster2,21.0,20.976,-0.51,-0.588,0.482,0.644,0.519,0.637,-0.437,-0.484,0.499,0.637,0.081,0.153,-0.028,-0.014,0.081,0.153,-0.486,-0.548,-0.481,-0.637,0.367,0.336,0.5,0.637,-0.479,-0.548,-0.509,-0.548
0.2,0.2,Cond0_ex1,Summary,Asymmetric,Asymmetric_Summary,Cluster1,10.0,52.783,-0.009,0.085,0.052,0.115,0.188,0.129,0.165,0.239,0.125,0.129,0.552,0.55,0.301,0.286,0.552,0.55,,,,,,,,,,,,
0.2,0.2,Cond0_ex1,Summary,Asymmetric,Asymmetric_Summary,Cluster2,29.0,40.914,-0.777,-0.677,0.715,0.776,0.807,0.783,-0.674,-0.558,0.779,0.783,0.194,0.229,-0.058,-0.09,0.194,0.229,,,,,,,,,,,,
0.2,0.2,Cond1_ex1,Summary,Symmetric,Symmetric_Summary,Cluster1,26.0,43.596,-0.879,-0.778,0.811,0.85,0.893,0.844,-0.772,-0.651,0.859,0.844,0.133,0.175,-0.095,-0.06,0.133,0.175,-0.841,-0.741,-0.817,-0.844,0.597,0.446,0.866,0.844,-0.831,-0.741,-0.88,-0.741
0.2,0.2,Cond1_ex1,Summary,Symmetric,Symmetric_Summary,Cluster2,5.0,39.233,-0.178,-0.188,0.208,0.347,0.332,0.369,0.004,-0.035,0.264,0.369,0.471,0.495,0.242,0.192,0.471,0.495,-0.079,-0.079,-0.257,-0.369,0.092,0.008,0.421,0.369,-0.058,-0.079,-0.148,-0.079
0.1,0.1,Cond0_ex2,Online,Asymmetric,Asymmetric_Online,Cluster1,9.0,55.389,0.338,0.316,-0.249,-0.242,-0.28,-0.223,0.388,0.374,-0.26,-0.223,0.165,0.198,0.254,0.269,0.165,0.198,,,,,,,,,,,,
0.1,0.1,Cond0_ex2,Online,Asymmetric,Asymmetric_Online,Cluster2,27.0,26.877,-0.478,-0.456,0.387,0.483,0.5,0.487,-0.419,-0.414,0.484,0.487,0.11,0.116,-0.154,-0.148,0.11,0.116,,,,,,,,,,,,
0.1,0.1,Cond1_ex2,Online,Symmetric,Symmetric_Online,Cluster1,17.0,47.118,-0.636,-0.627,0.661,0.698,0.693,0.683,-0.468,-0.475,0.607,0.573,0.205,0.206,0.133,0.134,0.205,0.206,-0.549,-0.563,-0.668,-0.683,0.546,0.27,0.697,0.683,-0.53,-0.563,-0.619,-0.563
0.1,0.1,Cond1_ex2,Online,Symmetric,Symmetric_Online,Cluster2,21.0,20.976,-0.51,-0.588,0.482,0.644,0.519,0.637,-0.434,-0.484,0.49,0.574,0.081,0.153,-0.028,-0.014,0.081,0.153,-0.468,-0.548,-0.495,-0.637,0.374,0.218,0.494,0.637,-0.46,-0.548,-0.513,-0.548
0.1,0.1,Cond0_ex1,Summary,Asymmetric,Asymmetric_Summary,Cluster1,10.0,52.783,-0.009,0.085,0.052,0.115,0.188,0.129,0.203,0.239,0.083,0.129,0.552,0.55,0.301,0.286,0.552,0.55,,,,,,,,,,,,
0.1,0.1,Cond0_ex1,Summary,Asymmetric,Asymmetric_Summary,Cluster2,29.0,40.914,-0.777,-0.677,0.715,0.776,0.807,0.783,-0.655,-0.558,0.78,0.783,0.194,0.229,-0.058,-0.09,0.194,0.229,,,,,,,,,,,,
0.1,0.1,Cond1_ex1,Summary,Symmetric,Symmetric_Summary,Cluster1,26.0,43.596,-0.879,-0.778,0.811,0.85,0.893,0.844,-0.762,-0.651,0.819,0.844,0.133,0.175,-0.095,-0.06,0.133,0.175,-0.807,-0.741,-0.837,-0.844,0.608,0.306,0.861,0.844,-0.797,-0.741,-0.888,-0.741
0.1,0.1,Cond1_ex1,Summary,Symmetric,Symmetric_Summary,Cluster2,5.0,39.233,-0.178,-0.188,0.208,0.347,0.332,0.369,0.028,-0.035,0.243,0.369,0.471,0.495,0.242,0.192,0.471,0.495,-0.031,-0.079,-0.255,-0.369,0.115,-0.137,0.429,0.369,-0.015,-0.079,-0.171,-0.079
0.01,0.01,Cond0_ex2,Online,Asymmetric,Asymmetric_Online,Cluster1,9.0,55.389,0.338,0.316,-0.249,-0.242,-0.28,-0.223,0.371,0.374,0.135,0.082,0.165,0.198,0.254,0.269,0.165,0.198,,,,,,,,,,,,
0.01,0.01,Cond0_ex2,Online,Asymmetric,Asymmetric_Online,Cluster2,27.0,26.877,-0.478,-0.456,0.387,0.483,0.5,0.487,-0.316,-0.414,-0.06,0.145,0.11,0.116,-0.154,-0.148,0.11,0.116,,,,,,,,,,,,
0.01,0.01,Cond1_ex2,Online,Symmetric,Symmetric_Online,Cluster1,17.0,47.118,-0.636,-0.627,0.661,0.698,0.693,0.683,-0.347,-0.475,-0.515,-0.539,0.205,0.206,0.133,0.134,0.205,0.206,-0.429,-0.475,-0.673,-0.683,0.564,0.27,0.682,0.683,-0.407,-0.475,-0.618,-0.563
0.01,0.01,Cond1_ex2,Online,Symmetric,Symmetric_Online,Cluster2,21.0,20.976,-0.51,-0.588,0.482,0.644,0.519,0.637,-0.346,-0.484,-0.317,-0.385,0.081,0.153,-0.028,-0.014,0.081,0.153,-0.391,-0.484,-0.504,-0.637,0.383,0.218,0.51,0.637,-0.379,-0.484,-0.508,-0.548
0.01,0.01,Cond0_ex1,Summary,Asymmetric,Asymmetric_Summary,Cluster1,10.0,52.783,-0.009,0.085,0.052,0.115,0.188,0.129,0.332,0.239,0.059,0.002,0.552,0.55,0.301,0.286,0.552,0.55,,,,,,,,,,,,
0.01,0.01,Cond0_ex1,Summary,Asymmetric,Asymmetric_Summary,Cluster2,29.0,40.914,-0.777,-0.677,0.715,0.776,0.807,0.783,-0.5,-0.558,0.097,0.382,0.194,0.229,-0.058,-0.09,0.194,0.229,,,,,,,,,,,,
0.01,0.01,Cond1_ex1,Summary,Symmetric,Symmetric_Summary,Cluster1,26.0,43.596,-0.879,-0.778,0.811,0.85,0.893,0.844,-0.611,-0.651,0.185,0.496,0.133,0.175,-0.095,-0.06,0.133,0.175,-0.679,-0.651,-0.863,-0.844,0.624,0.306,0.872,0.844,-0.656,-0.651,-0.888,-0.741
0.01,0.01,Cond1_ex1,Summary,Symmetric,Symmetric_Summary,Cluster2,5.0,39.233,-0.178,-0.188,0.208,0.347,0.332,0.369,0.157,-0.035,0.255,0.22,0.471,0.495,0.242,0.192,0.471,0.495,0.1,-0.035,-0.275,-0.369,0.138,-0.137,0.406,0.369,0.121,-0.035,-0.182,-0.079
