condition,experiment,threshold,cluster,metric,phase1_correlation,phase2_correlation,phase1_n_participants,phase2_n_participants,phase1_n_samples,phase2_n_samples,phase1_fisher_z,phase2_fisher_z,z_statistic,p_value,significant,correlation_difference
非対称否定_オンライン,ex2,0.1,Cluster2,CS,-0.8033230227201602,-0.7613762087278401,174,156,6,6,-1.1079118459608015,-0.9994812513047252,-0.1327998147069697,0.8943517009042876,False,0.04194681399232014
非対称否定_オンライン,ex2,0.1,Cluster2,UCS,0.23550480974596008,0.37714138017137855,174,156,6,6,0.2400095921942148,0.3967228037448004,-0.19193370212588484,0.8477941377196214,False,0.14163657042541847
非対称否定_オンライン,ex2,0.1,Cluster1,CS,0.9497474035853446,0.6200088846157936,60,78,6,6,1.8291964454982843,0.725019520331452,1.3523350262070122,0.17626816429791137,False,0.329738518969551
非対称否定_オンライン,ex2,0.1,Cluster1,UCS,0.4719651028767958,0.6292924790852574,60,78,6,6,0.5125956085822145,0.7402438696468928,-0.2788110402201783,0.780389841432765,False,0.15732737620846166
対称否定_オンライン,ex2,1.0,Cluster2,CS,0.8356434088705801,0.88759508055788,144,186,6,6,1.2065559635187868,1.410475574939741,-0.24974949826397946,0.8027810767672632,False,0.05195167168729986
対称否定_オンライン,ex2,1.0,Cluster2,UCS,0.8887055266865554,0.9310743139854989,144,186,6,6,1.4157336827993046,1.666401428242706,-0.30700403565509826,0.7588403004559572,False,0.042368787298943444
対称否定_オンライン,ex2,1.0,Cluster1,CS,0.8316191527090665,-0.778365651490701,84,6,6,6,1.193363637816802,-1.0412105515135928,2.7367832781264188,0.0062043151774877625,True,1.6099848041997675
対称否定_オンライン,ex2,1.0,Cluster1,UCS,0.8637072549773404,-0.8271272466021216,84,6,6,6,1.3077589107909309,-1.17897220371032,3.0456111790152973,0.0023220791004958663,True,1.690834501579462
対称否定_オンライン,ex2,0.7,Cluster2,CS,0.47879333010415526,0.5897869565084287,144,186,6,6,0.521417537174641,0.6773393268019369,-0.19096441218422888,0.8485534749772687,False,0.11099362640427346
対称否定_オンライン,ex2,0.7,Cluster2,UCS,0.8636568792463671,0.911410318981106,144,186,6,6,1.3075606227384022,1.5357906258477205,-0.279523525805824,0.7798430862585126,False,0.04775343973473889
対称否定_オンライン,ex2,0.7,Cluster1,CS,0.569410363493467,-0.4610218051968241,84,6,6,6,0.6466498730353792,-0.4986081106515459,1.4026488419408338,0.1607215795541188,False,1.030432168690291
対称否定_オンライン,ex2,0.7,Cluster1,UCS,0.8476380586147969,-0.8073215656306509,84,6,6,6,1.2477022468349057,-1.1192892870513325,2.8989607417544807,0.0037440176984058215,True,1.6549596242454478
対称否定_オンライン,ex2,0.5,Cluster2,CS,-0.15850147281345933,-0.02683764868053248,144,186,6,6,-0.1598491758884808,-0.026844094822624842,-0.16289729090442964,0.8705993038838393,False,0.13166382413292685
対称否定_オンライン,ex2,0.5,Cluster2,UCS,0.8445052100260626,0.8947724394783179,144,186,6,6,1.2366770577966797,1.445364388730111,-0.2555887382851194,0.7982684151850996,False,0.05026722945225526
対称否定_オンライン,ex2,0.5,Cluster1,CS,0.05085265451189821,0.10674131425796174,84,6,6,6,0.050896557512318655,0.10714950150072919,-0.06889550465048412,0.9450727967879817,False,0.05588865974606353
対称否定_オンライン,ex2,0.5,Cluster1,UCS,0.8512991719955699,-0.8109284150843831,84,6,6,6,1.26085325250036,-1.1297346148733496,2.927860230176907,0.0034130343591531886,True,1.662227587079953
対称否定_オンライン,ex2,0.2,Cluster2,CS,-0.8152438840110148,-0.763892113202228,144,186,6,6,-1.1424692228061204,-1.0054946131832174,-0.16775895064651541,0.8667729173809193,False,0.05135177080878672
対称否定_オンライン,ex2,0.2,Cluster2,UCS,0.48200651559275354,0.5394617718898932,144,186,6,6,0.5255947692583601,0.6033961344709461,-0.09528682303137864,0.9240870087268425,False,0.057455256297139656
対称否定_オンライン,ex2,0.2,Cluster1,CS,-0.6115951282670826,0.6721270965122783,84,6,6,6,-0.7114657254877649,0.8146128807460474,-1.869056946325286,0.061614892060096516,False,1.283722224779361
対称否定_オンライン,ex2,0.2,Cluster1,UCS,0.5796394861150528,-0.6813805439320773,84,6,6,6,0.6619196085781103,-0.8316865121453809,1.8292864362351824,0.06735670951811779,False,1.26102003004713
対称否定_オンライン,ex2,0.1,Cluster2,CS,-0.8136923532850907,-0.7772009932012108,144,186,6,6,-1.137860349297415,-1.0382624398454217,-0.12198202880265283,0.9029132509131661,False,0.036491360083879876
対称否定_オンライン,ex2,0.1,Cluster2,UCS,0.2787588403339221,0.29627617088321645,144,186,6,6,0.28633583485948355,0.30543247901076265,-0.023388516985069257,0.981340364620483,False,0.01751733054929433
対称否定_オンライン,ex2,0.1,Cluster1,CS,-0.6254572357238644,0.6462971536064899,84,6,6,6,-0.7339192221268193,0.7689133760149248,-1.840586517134198,0.06568217506375218,False,1.2717543893303542
対称否定_オンライン,ex2,0.1,Cluster1,UCS,0.3848074586632222,-0.4972745900339872,84,6,6,6,0.4056905478943315,-0.5456788390379851,1.165184777444315,0.24394420609744727,False,0.8820820486972094
