CS_threshold,UCS_threshold,実験タイプ,条件,クラスタ,n,CRT_mean,estimate_mean,P(E|C)_pearson,P(E|C)_spearman,P(C|E)_pearson,P(C|E)_spearman,ΔP_pearson,ΔP_spearman,CS_pearson,CS_spearman,UCS_pearson,UCS_spearman,pARIs_pearson,pARIs_spearman,DFH_pearson,DFH_spearman,Dice_pearson,Dice_spearman,CS_diff_pearson,CS_diff_spearman,UCS_diff_pearson,UCS_diff_spearman,CS_ratio_pearson,CS_ratio_spearman,UCS_ratio_pearson,UCS_ratio_spearman,CS_single_pearson,CS_single_spearman,UCS_single_pearson,UCS_single_spearman
0.3,0.3,サマリー,非対称否定,クラスタ1,2,2.5,64.75,0.42,-0.074,-0.38,-0.147,-0.598,-0.087,0.256,0,0.078,0.551,-0.495,-0.495,-0.101,0.045,-0.495,-0.495,,,,,,,,,,,,
0.3,0.3,サマリー,非対称否定,クラスタ2,37,2.361,42.833,-0.851,-0.696,0.8,0.899,0.959,0.943,-0.624,-0.371,0.495,0.543,0.442,0.488,0.059,0.059,0.442,0.488,,,,,,,,,,,,
0.3,0.3,サマリー,対称否定,クラスタ1,4,0.25,43,-0.15,0.116,0.187,0.174,0.372,0.257,0.084,0.371,-0.099,-0.143,0.64,0.878,0.323,0.5,0.64,0.878,-0.034,0.257,-0.351,-0.257,0.004,-0.143,0.645,0.257,-0.009,0.257,-0.065,0.029
0.3,0.3,サマリー,対称否定,クラスタ2,27,2.296,42.877,-0.971,-0.87,0.899,0.986,0.989,1,-0.784,-0.429,0.614,0.6,0.158,0.293,-0.095,0.147,0.158,0.293,-0.945,-0.829,-0.908,-1,0.617,0.6,0.903,1,-0.937,-0.829,-0.945,-0.771
0.2,0.2,オンライン,非対称否定,クラスタ1,10,2.2,54.683,0.787,0.812,-0.598,-0.638,-0.602,-0.543,0.945,0.943,0.523,0.771,0.548,0.488,0.612,0.618,0.548,0.488,,,,,,,,,,,,
0.2,0.2,オンライン,非対称否定,クラスタ2,26,2.308,26.051,-0.89,-0.638,0.726,0.696,0.924,0.771,-0.832,-0.543,-0.954,-0.486,0.181,0.293,-0.282,-0.147,0.181,0.293,,,,,,,,,,,,
0.2,0.2,オンライン,対称否定,クラスタ1,14,2.286,49.75,-0.857,-0.928,0.893,0.986,0.939,0.943,-0.612,-0.771,-0.844,-0.714,0.285,0.098,0.186,0.029,0.285,0.098,-0.776,-0.886,-0.923,-0.943,0.718,0.543,-0.219,0.029,-0.753,-0.886,-0.467,-0.429
0.2,0.2,オンライン,対称否定,クラスタ2,24,2.478,22.708,-0.97,-0.87,0.933,0.986,0.996,1,-0.815,-0.657,-0.885,-0.6,0.174,0.293,-0.014,0.147,0.174,0.293,-0.922,-0.829,-0.961,-1,0.716,0.6,-0.098,0.086,-0.908,-0.829,-0.707,-0.486
0.2,0.2,サマリー,非対称否定,クラスタ1,2,2.5,64.75,0.42,-0.074,-0.38,-0.147,-0.598,-0.087,0.24,-0.145,0.773,0.551,-0.495,-0.495,-0.101,0.045,-0.495,-0.495,,,,,,,,,,,,
0.2,0.2,サマリー,非対称否定,クラスタ2,37,2.361,42.833,-0.851,-0.696,0.8,0.899,0.959,0.943,-0.665,-0.486,-0.94,-0.657,0.442,0.488,0.059,0.059,0.442,0.488,,,,,,,,,,,,
